,date,incidents,n_killed,n_injured,year
351,2014-06-24,147,50,65,2014
352,2014-06-25,145,40,56,2014
353,2014-06-26,154,33,68,2014
354,2014-06-27,165,49,58,2014
355,2014-06-28,162,31,97,2014
356,2014-06-29,157,50,105,2014
357,2014-06-30,151,40,57,2014
358,2014-07-01,132,25,62,2014
359,2014-07-02,134,25,64,2014
360,2014-07-03,137,37,71,2014
361,2014-07-04,192,48,92,2014
362,2014-07-05,212,71,153,2014
363,2014-07-06,165,50,108,2014
364,2014-07-07,173,38,94,2014
365,2014-07-08,173,39,80,2014
366,2014-07-09,152,47,66,2014
367,2014-07-10,152,32,53,2014
368,2014-07-11,141,28,60,2014
369,2014-07-12,168,45,82,2014
370,2014-07-13,200,58,96,2014
371,2014-07-14,177,38,67,2014
372,2014-07-15,177,25,75,2014
373,2014-07-16,146,29,57,2014
374,2014-07-17,159,36,77,2014
375,2014-07-18,166,34,58,2014
376,2014-07-19,170,50,87,2014
377,2014-07-20,199,43,100,2014
378,2014-07-21,151,25,65,2014
379,2014-07-22,182,38,70,2014
380,2014-07-23,172,32,70,2014
381,2014-07-24,175,32,68,2014
382,2014-07-25,168,30,61,2014
383,2014-07-26,171,37,92,2014
384,2014-07-27,155,29,90,2014
385,2014-07-28,165,32,82,2014
386,2014-07-29,193,35,77,2014
387,2014-07-30,189,39,65,2014
388,2014-07-31,173,35,81,2014
389,2014-08-01,200,44,83,2014
390,2014-08-02,189,49,95,2014
391,2014-08-03,175,46,103,2014
392,2014-08-04,163,30,72,2014
393,2014-08-05,153,49,56,2014
394,2014-08-06,169,33,76,2014
395,2014-08-07,142,31,62,2014
396,2014-08-08,172,34,82,2014
397,2014-08-09,154,26,85,2014
398,2014-08-10,186,54,102,2014
399,2014-08-11,175,32,65,2014
400,2014-08-12,164,29,66,2014
401,2014-08-13,175,30,81,2014
402,2014-08-14,156,31,67,2014
403,2014-08-15,176,35,76,2014
404,2014-08-16,167,44,91,2014
405,2014-08-17,199,30,106,2014
406,2014-08-18,182,36,68,2014
407,2014-08-19,177,51,57,2014
408,2014-08-20,178,38,81,2014
409,2014-08-21,171,30,44,2014
410,2014-08-22,170,35,71,2014
411,2014-08-23,188,44,93,2014
412,2014-08-24,189,53,87,2014
413,2014-08-25,160,27,63,2014
414,2014-08-26,141,25,55,2014
415,2014-08-27,150,24,52,2014
416,2014-08-28,142,32,45,2014
417,2014-08-29,170,31,58,2014
418,2014-08-30,145,37,62,2014
419,2014-08-31,181,50,94,2014
420,2014-09-01,185,32,87,2014
421,2014-09-02,162,47,61,2014
422,2014-09-03,155,39,66,2014
423,2014-09-04,155,30,58,2014
424,2014-09-05,185,41,57,2014
425,2014-09-06,220,52,100,2014
426,2014-09-07,149,23,72,2014
427,2014-09-08,166,50,54,2014
428,2014-09-09,148,29,47,2014
